"name","cuisines","featured_image","id"
Hauz Khas Social,"Continental, American, Asian, North Indian",https://b.zmtcdn.com/data/pictures/2/308322/cf86dbd8b8ca4d40682c7713f112cc07_featured_v2.jpg,1
Qubitos - The Terrace Cafe,"Thai, European, Mexican, North Indian, Chinese, Cafe",https://b.zmtcdn.com/data/pictures/7/18037817/235a118e0c275deae64db9a2a4b3d6a2_featured_v2.png,2
The Hudson Cafe,"Cafe, Italian, Continental, Chinese",https://b.zmtcdn.com/data/pictures/5/312345/0345d29e190502c100190e455b4334a7_featured_v2.jpg,3
Summer House Cafe,"Italian, Continental",https://b.zmtcdn.com/data/pictures/0/307490/e00bae6487490c53d94f6bf18aa85a62_featured_v2.jpg,4
"38 Barracks","North Indian, Italian, Asian, American",https://b.zmtcdn.com/data/pictures/7/18241537/9f5a933de4086e99a0917d4b659d7537_featured_v2.jpg,5
Spezia Bistro,"Cafe, Continental, Chinese, Italian",https://b.zmtcdn.com/data/pictures/7/18161577/d40268f4980f3e53349bca7055b87124_featured_v2.jpg,6
Manhattan Brewery & Bar Exchange,"Finger Food, American, Continental, North Indian, Italian",https://b.zmtcdn.com/data/pictures/0/303960/3a3246697e182b37a8a51922a89d4192_featured_v2.jpg,7
The Wine Company,"Italian, European",https://b.zmtcdn.com/data/pictures/4/306134/a3808bac6743110762e4cd2b1c60db94_featured_v2.jpg,8
Farzi Cafe,Modern Indian,https://b.zmtcdn.com/data/pictures/3/18233593/b547de994b81df6b39ac8ffd76136bfb_featured_v2.jpg,9
Indian Grill Room,"North Indian, Mughlai",https://b.zmtcdn.com/data/pictures/8/7528/a56e677f209eefb0537b7672883eac57_featured_v2.jpg,10
Cafeteria & Co.,"Continental, Mexican",https://b.zmtcdn.com/data/pictures/4/18273624/cf37a2abfb28cdffe5d96b096d841374_featured_v2.jpg,11
Farzi Cafe,Modern Indian,https://b.zmtcdn.com/data/pictures/2/308022/7f5971f1a6c617651d871ff02306ed53_featured_v2.jpg,12
Molecule Air Bar,"Continental, North Indian, Italian, Chinese",https://b.zmtcdn.com/data/pictures/3/18157413/2c52bcf5b4e2e276130fed24b07416ab_featured_v2.jpg,13
HotMess,"North Indian, Mediterranean, Asian, Fast Food",https://b.zmtcdn.com/data/pictures/9/18279449/ba64af5f180920b9bed89693a18cdfc5_featured_v2.jpg,14
My Bar Headquarters,"North Indian, Mughlai, Chinese",https://b.zmtcdn.com/data/pictures/7/311057/6d34c0e230aced20c74a2100e5b75b96_featured_v2.jpg,15
